"BUL_ID","FROMDATE","TODATE","CONSUMPTION"
"23007162664","1397/03/27","1397/05/11","155"
"23007162664","1397/02/15","1397/03/27","190"
"23007162664","1397/01/31","1397/02/15","189"
"23007162664","1396/12/17","1397/01/31","661"
"23007246910","1398/06/21","1398/08/06","1014"
"23007246910","1397/12/12","1398/06/21","4896"
"23007246910","1397/11/07","1397/12/12","2303"
"23007246910","1397/09/19","1397/11/07","3103"
"23007246910","1397/08/20","1397/09/19","1359"
"23007246910","1397/06/19","1397/08/20","1809"
"23007246910","1397/03/05","1397/06/19","1393"
"23007246910","1396/06/13","1397/03/05","7810"
"23007259408","1399/03/21","1399/05/05","110"
"23007259408","1399/02/08","1399/03/21","191"
"23007259408","1398/12/19","1399/02/08","459"
"23007259408","1398/11/03","1398/12/19","610"
"23007259408","1398/09/19","1398/11/03","550"
"23007259408","1398/08/06","1398/09/19","430"
"23007259408","1398/06/23","1398/08/06","180"
"23007259408","1398/05/03","1398/06/23","114"
"23007259408","1398/03/22","1398/05/03","96"
"23007259408","1398/01/30","1398/03/22","250"
"23007259408","1397/12/13","1398/01/30","500"
"23007259408","1397/11/06","1397/12/13","475"
"23007259408","1397/09/20","1397/11/06","685"
"23007259408","1397/08/09","1397/09/20","420"
"23007259408","1397/06/20","1397/08/09","205"
"23007259408","1397/05/11","1397/06/20","85"
"23007259408","1397/03/27","1397/05/11","99"
"23007259408","1397/02/15","1397/03/27","161"
"23007259408","1396/12/17","1397/02/15","471"
"23007472657","1399/02/16","1399/05/04","0"
"23007472657","1396/09/22","1399/02/16","0"
"23007340912","1399/03/21","1399/05/05","52"
"23007340912","1399/02/08","1399/03/21","52"
"23007340912","1398/12/19","1399/02/08","857"
"23007340912","1398/11/03","1398/12/19","1151"
"23007340912","1398/09/19","1398/11/03","969"
"23007340912","1398/08/06","1398/09/19","820"
"23007340912","1398/06/23","1398/08/06","191"
"23007340912","1398/05/07","1398/06/23","49"
"23007340912","1398/03/22","1398/05/07","51"
"23007340912","1398/02/01","1398/03/22","239"
"23007340912","1397/12/13","1398/02/01","878"
"23007340912","1397/11/06","1397/12/13","912"
"23007340912","1397/09/25","1397/11/06","1023"
"23007340912","1397/09/20","1397/09/25","96"
"23007340912","1397/08/09","1397/09/20","688"
"23007340912","1397/06/20","1397/08/09","171"
"23007340912","1397/05/11","1397/06/20","35"
"23007340912","1397/03/27","1397/05/11","67"
"23007340912","1397/02/15","1397/03/27","180"
"23007340912","1396/10/24","1397/02/15","1967"
"23007399980","1399/03/24","1399/05/07","0"
"23007399980","1398/12/20","1399/03/24","0"
"23007399980","1398/11/06","1398/12/20","0"
"23007399980","1398/09/20","1398/11/06","0"
"23007399980","1398/08/08","1398/09/20","0"
"23007399980","1398/06/24","1398/08/08","0"
"23007399980","1398/05/08","1398/06/24","0"
"23007399980","1398/03/25","1398/05/08","0"
"23007399980","1398/02/05","1398/03/25","0"
"23007399980","1397/12/15","1398/02/05","0"
"23007399980","1397/11/08","1397/12/15","0"
"23007399980","1397/09/21","1397/11/08","0"
"23007399980","1397/08/10","1397/09/21","0"
"23007399980","1397/06/21","1397/08/10","0"
"23007399980","1397/05/14","1397/06/21","0"
"23007399980","1397/03/28","1397/05/14","0"
"23007399980","1397/02/16","1397/03/28","0"
"23007399980","1397/01/27","1397/02/16","2"
"23007399980","1396/12/10","1397/01/27","2"
"23007407649","1399/03/25","1399/05/07","85"
"23007407649","1399/01/15","1399/03/25","418"
"23007407649","1398/09/21","1399/01/15","1337"
"23007407649","1398/08/09","1398/09/21","380"
"23007407649","1398/06/24","1398/08/09","255"
"23007407649","1398/05/08","1398/06/24","110"
"23007407649","1398/03/25","1398/05/08","90"
"23007407649","1397/11/08","1398/03/25","1255"
"23007407649","1397/08/10","1397/11/08","1000"
"23007407649","1397/06/22","1397/08/10","257"
"23007407649","1397/05/14","1397/06/22","128"
"23007407649","1397/02/16","1397/05/14","270"
"23007407649","1397/01/27","1397/02/16","141"
"23007407649","1396/12/14","1397/01/27","328"
"23008009754","1399/01/31","1399/05/20","671"
"23008009754","1398/11/13","1399/01/31","2017"
"23008009754","1398/09/23","1398/11/13","1898"
"23008009754","1398/08/12","1398/09/23","1320"
"23008009754","1398/07/07","1398/08/12","355"
